School ID,School Metro Type
00003e0fdd601b8ea0a6eb44057b9c5e,rural
00004e32a448b4832e1b993500bf0731,urban
0002021bb799f28de224f1acc1ff08c4,suburban
0004604f675212a8cac1161338265196,unknown
0004c9d50bcf0cea990f844e58b5e2c3,rural
0004ffe3558fd70d939ad522b92447c8,unknown
000622b5ef4515b583da788f20be16ca,urban
000630ab66464a738cab5036738075df,unknown
00064eac8b3d1f6dea8a07559922ed58,urban
0006658276977eeefb5bc7b0c7399b5b,suburban
00073384a6b6c790563af323f0eb01b7,unknown
00088700b1a74fdb0bcc7d8d458c25f6,rural
0009338d5927605c8a282b9b0e2d5aa0,suburban
0009f8a900cc0954f1db5802a8ce8ba3,suburban
000a178f0bbfca85c5f727ed9cc6c4cc,town
000a21e544223a6cf1f3a79136275584,rural
000a7d0f9cb24753fe909185806b574e,unknown
000ab96e3cdf1e01b250ecf167cb06f6,unknown
000b2f99863f25561fb362c7e2dfb177,urban
000c0fa590e420e0c9e577956aaebefd,urban
000d029195c7cb218af279c03d616c3e,urban
000d5924247585f5d01e90b85309cace,unknown
000e4b381101e086c59ff9fd490d1677,suburban
000ebbd7649e911b52aa14097cc1c401,urban
000ecd9bb117bf5092504b2c3f79d64a,urban
000ef91ec1409e4e04f4fca354614919,town
000f0266dd60e70dc1748a71009cd663,rural
00100ceb5adae22eb6f42ce13155f59c,suburban
00119387afdc6b68323ca4403ad3a6d3,town
0011daeaec656b3821749f1754bd2a1e,suburban
0012464ec3c3cf59c453db9645ada702,suburban
00134665ab6fca630c64ae4e9a6c6d18,suburban
0013a562a6af65ff472558d5ac6d462d,urban
00143c0b221e2031e34273836da170c9,suburban
001740035cc4f644d8c18bc153cc927d,unknown
00196be646232668e9beeb6ed0a53e8c,rural
001a37fb7159bb793d29e4bac47e769a,urban
001c99821586a31688bde93efa3c8dfd,suburban
001e39ee96f914ef8ddb37ce4ab3095c,suburban
001f5cac2eff62e8a4ac8e70a72d010a,suburban
001ff199bc52e78c9a85f99143081e46,suburban
001ff666a7cbe62354e7a2f9f31a806d,urban
002064544b7f4b2badeb5af43ec3ec18,suburban
0021b2fb6a7b7cf90f7f6237c961b1a8,rural
00227f0ab18421546b4269675f5e0d16,unknown
0022a1402bfe31c2f091733fbf15992e,suburban
0023afd873db497fc43ca64ff901a275,suburban
00243d8b4e7fc10354d43d38c0956c8a,suburban
00263b5d6c8d744b55c34814f20f72c5,unknown
00268b860c35b75731d5f97deedbbd56,town
002775859958c4781d5b24aff76c3505,unknown
0027f16ede708d00304593142a1c5b8b,town
0029bdc9ef25316e8f5dfba328b230d0,unknown
0029c363ee0c570e8b9c33cdf601d02f,urban
002a4a06bce1a643b1f9c889653cdb1d,unknown
002b7be6dce419aac01c5297dd74a8fd,suburban
002b84000b4ed0454abc3b2c5e94ff4f,urban
