itemname,price,type,count
Abating Link,10, Mod,3
Abating Link,11, Mod,1
Abating Link,12, Mod,3
Abating Link,14, Mod,1
Abating Link,15, Mod,2
Accelerated Blast,2, Mod,14
Accelerated Blast,3, Mod,17
Accelerated Blast,5, Mod,2
Accelerated Blast,9, Mod,3
Adept Surge,4, Mod,1000
Adhesive Blast,3, Mod,16
Adhesive Blast,4, Mod,1
Adhesive Blast,5, Mod,1
Adhesive Blast,8, Mod,1
Adhesive Blast,14, Mod,1
Afterburn,10, Mod,3
Afterburn,11, Mod,1
Afterburn,12, Mod,2
Afterburn,14, Mod,1
Afterburn,15, Mod,1
Agile Aim,8, Mod,1000
Agility Drift,4, Mod,5
Agility Drift,5, Mod,17
Agility Drift,8, Mod,2
Air Recon,8, Mod,1000
Akbronco Prime Blueprint,1, Blueprint,18
Akbronco Prime Blueprint,2, Blueprint,44
Akbronco Prime Blueprint,3, Blueprint,2
Akbronco Prime Blueprint,4, Blueprint,2
Akbronco Prime Blueprint,5, Blueprint,31
Akbronco Prime Blueprint,7, Blueprint,3
Akbronco Prime Blueprint,8, Blueprint,2
Akbronco Prime Blueprint,10, Blueprint,16
Akbronco Prime Blueprint,20, Blueprint,1
Akbronco Prime Link,3, Blueprint,2
Akbronco Prime Link,4, Blueprint,4
Akbronco Prime Link,5, Blueprint,17
Akbronco Prime Link,6, Blueprint,1
Akbronco Prime Link,7, Blueprint,4
Akbronco Prime Link,8, Blueprint,2
Akbronco Prime Link,9, Blueprint,1
Akbronco Prime Link,10, Blueprint,6
Akbronco Prime Link,20, Blueprint,1
Akbronco Prime Set,15, Set,1
Akbronco Prime Set,20, Set,2
Akbronco Prime Set,35, Set,4
Akbronco Prime Set,40, Set,1
Akbronco Prime Set,50, Set,3
Akbronco Prime Set,55, Set,1
Akbronco Prime Set,60, Set,1
Akbronco Prime Set,65, Set,1
Akbronco Prime Set,80, Set,2
Akbronco Prime Set,100, Set,2
Akbronco Prime Set,200, Set,1
Ambush Optics (Rubico),10, Mod,1
Ambush Optics (Rubico),15, Mod,1
Ammo Stock,5, Mod,1
Ammo Stock,7, Mod,4
Ammo Stock,8, Mod,1
Ammo Stock,10, Mod,3
Anemic Agility,4, Mod,10
Anemic Agility,5, Mod,40
Anemic Agility,7, Mod,2
Anemic Agility,8, Mod,10
Anemic Agility,9, Mod,1
Anemic Agility,10, Mod,1
Anemic Agility,15, Mod,1
Animal Instinct,2, Mod,6
Animal Instinct,3, Mod,10
Animal Instinct,4, Mod,21
Animal Instinct,5, Mod,11
Animal Instinct,6, Mod,1
Animal Instinct,8, Mod,4
Animal Instinct,10, Mod,5
Animal Instinct,15, Mod,1
Animal Instinct,95, Mod,1
Ankyros Prime Blade,10, Blueprint,3
Ankyros Prime Blade,13, Blueprint,1
Ankyros Prime Blade,25, Blueprint,1
Ankyros Prime Blade,30, Blueprint,2
Ankyros Prime Blade,35, Blueprint,2
Ankyros Prime Blade,40, Blueprint,6
Ankyros Prime Blade,45, Blueprint,1
Ankyros Prime Blade,48, Blueprint,1
Ankyros Prime Blade,50, Blueprint,6
Ankyros Prime Blade,55, Blueprint,1
Ankyros Prime Blade,60, Blueprint,1
Ankyros Prime Blueprint,1, Blueprint,3
Ankyros Prime Blueprint,4, Blueprint,1
Ankyros Prime Blueprint,5, Blueprint,5
Ankyros Prime Blueprint,8, Blueprint,1
Ankyros Prime Blueprint,10, Blueprint,24
Ankyros Prime Blueprint,20, Blueprint,2
Ankyros Prime Gauntlet,3, Blueprint,1
Ankyros Prime Gauntlet,5, Blueprint,13
Ankyros Prime Gauntlet,7, Blueprint,3
Ankyros Prime Gauntlet,8, Blueprint,6
Ankyros Prime Gauntlet,10, Blueprint,15
Ankyros Prime Gauntlet,15, Blueprint,1
Ankyros Prime Gauntlet,17, Blueprint,2
Ankyros Prime Gauntlet,19, Blueprint,2
Ankyros Prime Set,100, Set,3
Ankyros Prime Set,110, Set,1
Ankyros Prime Set,115, Set,2
Ankyros Prime Set,119, Set,1
Ankyros Prime Set,120, Set,3
Ankyros Prime Set,130, Set,1
Ankyros Prime Set,135, Set,1
Ankyros Prime Set,140, Set,6
Ankyros Prime Set,144, Set,1
Ankyros Prime Set,145, Set,2
Ankyros Prime Set,149, Set,1
Ankyros Prime Set,150, Set,11
Ankyros Prime Set,170, Set,5
Ankyros Prime Set,200, Set,2
Anticipation,8, Mod,1000
Anti-Flak Plating,12, Mod,1000
Antimatter Absorb,10, Mod,3
Antimatter Absorb,15, Mod,1
Antitoxin,3, Mod,1
Antitoxin,4, Mod,13
Antitoxin,5, Mod,10
Antitoxin,25, Mod,1
Apex Predator,8, Mod,1000
Arcane Acceleration,10, Arcane Enhancements,1
Arcane Acceleration,15, Arcane Enhancements,1
Arcane Acceleration,19, Arcane Enhancements,1
Arcane Acceleration,20, Arcane Enhancements,2
Arcane Acceleration,30, Arcane Enhancements,8
Arcane Acceleration,39, Arcane Enhancements,1
Arcane Acceleration,55, Arcane Enhancements,1
Arcane Acceleration,95, Arcane Enhancements,1
Arcane Aegis,100, Arcane Enhancements,1
Arcane Aegis,120, Arcane Enhancements,1
Arcane Aegis,125, Arcane Enhancements,1
Arcane Aegis,138, Arcane Enhancements,1
Arcane Aegis,139, Arcane Enhancements,2
Arcane Aegis,140, Arcane Enhancements,6
Arcane Aegis,149, Arcane Enhancements,1
Arcane Aegis,150, Arcane Enhancements,9
Arcane Aegis,159, Arcane Enhancements,1
Arcane Aegis,160, Arcane Enhancements,2
Arcane Aegis,165, Arcane Enhancements,1
Arcane Aegis,170, Arcane Enhancements,2
Arcane Aegis,175, Arcane Enhancements,1
Arcane Aegis,180, Arcane Enhancements,1
Arcane Aegis,185, Arcane Enhancements,1
Arcane Aegis,200, Arcane Enhancements,7
Arcane Agility,6, Arcane Enhancements,1
Arcane Agility,35, Arcane Enhancements,1
Arcane Agility,39, Arcane Enhancements,3
Arcane Agility,40, Arcane Enhancements,10
Arcane Agility,45, Arcane Enhancements,8
Arcane Agility,48, Arcane Enhancements,1
Arcane Agility,49, Arcane Enhancements,1
Arcane Agility,50, Arcane Enhancements,2
Arcane Arachne,20, Arcane Enhancements,2
Arcane Arachne,24, Arcane Enhancements,2
Arcane Arachne,25, Arcane Enhancements,7
Arcane Arachne,27, Arcane Enhancements,1
Arcane Arachne,30, Arcane Enhancements,3
Arcane Arachne,35, Arcane Enhancements,6
Arcane Arachne,37, Arcane Enhancements,2
Arcane Arachne,45, Arcane Enhancements,1
Arcane Arachne,50, Arcane Enhancements,3
Arcane Arachne,1000, Arcane Enhancements,10
Arcane Avenger,150, Arcane Enhancements,11
Arcane Avenger,170, Arcane Enhancements,1
Arcane Avenger,190, Arcane Enhancements,2
Arcane Avenger,195, Arcane Enhancements,1
Arcane Avenger,199, Arcane Enhancements,1
Arcane Avenger,200, Arcane Enhancements,18
Arcane Avenger,210, Arcane Enhancements,1
Arcane Avenger,220, Arcane Enhancements,8
Arcane Avenger,225, Arcane Enhancements,2
Arcane Avenger,230, Arcane Enhancements,3
Arcane Avenger,235, Arcane Enhancements,1
Arcane Avenger,240, Arcane Enhancements,4
Arcane Avenger,248, Arcane Enhancements,1
Arcane Avenger,250, Arcane Enhancements,13
Arcane Avenger,270, Arcane Enhancements,2
Arcane Avenger,280, Arcane Enhancements,10
Arcane Avenger,285, Arcane Enhancements,1
Arcane Avenger,299, Arcane Enhancements,12
Arcane Avenger,300, Arcane Enhancements,12
Arcane Awakening,8, Arcane Enhancements,2
Arcane Awakening,10, Arcane Enhancements,12
Arcane Awakening,11, Arcane Enhancements,6
Arcane Awakening,12, Arcane Enhancements,18
Arcane Awakening,13, Arcane Enhancements,3
Arcane Awakening,15, Arcane Enhancements,25
Arcane Awakening,19, Arcane Enhancements,3
Arcane Awakening,20, Arcane Enhancements,16
Arcane Awakening,25, Arcane Enhancements,3
Arcane Awakening,30, Arcane Enhancements,23
Arcane Awakening,150, Arcane Enhancements,10
Arcane Awakening,200, Arcane Enhancements,10
Arcane Barrier,15, Arcane Enhancements,3
Arcane Barrier,45, Arcane Enhancements,4
Arcane Barrier,50, Arcane Enhancements,24
Arcane Barrier,55, Arcane Enhancements,8
Arcane Barrier,60, Arcane Enhancements,12
Arcane Barrier,62, Arcane Enhancements,1
Arcane Barrier,65, Arcane Enhancements,5
Arcane Barrier,69, Arcane Enhancements,1
Arcane Barrier,70, Arcane Enhancements,13
Arcane Barrier,74, Arcane Enhancements,1
Arcane Barrier,75, Arcane Enhancements,3
Arcane Barrier,77, Arcane Enhancements,1
Arcane Barrier,79, Arcane Enhancements,3
Arcane Barrier,80, Arcane Enhancements,24
Arcane Barrier,85, Arcane Enhancements,10
Arcane Barrier,90, Arcane Enhancements,13
Arcane Barrier,100, Arcane Enhancements,10
Arcane Consequence,15, Arcane Enhancements,1
Arcane Consequence,19, Arcane Enhancements,1
Arcane Consequence,24, Arcane Enhancements,3
Arcane Consequence,25, Arcane Enhancements,1
Arcane Consequence,45, Arcane Enhancements,2
Arcane Deflection,7, Arcane Enhancements,1
Arcane Deflection,10, Arcane Enhancements,17
Arcane Deflection,25, Arcane Enhancements,1
Arcane Energize,110, Arcane Enhancements,20
Arcane Energize,200, Arcane Enhancements,4
Arcane Energize,210, Arcane Enhancements,1
Arcane Energize,250, Arcane Enhancements,13
Arcane Energize,260, Arcane Enhancements,2
Arcane Energize,270, Arcane Enhancements,1
Arcane Energize,280, Arcane Enhancements,1
Arcane Energize,290, Arcane Enhancements,1
Arcane Energize,295, Arcane Enhancements,1
Arcane Energize,300, Arcane Enhancements,10
Arcane Energize,325, Arcane Enhancements,10
Arcane Energize,330, Arcane Enhancements,1
Arcane Energize,350, Arcane Enhancements,30
Arcane Eruption,24, Arcane Enhancements,1
Arcane Eruption,25, Arcane Enhancements,3
Arcane Eruption,30, Arcane Enhancements,4
Arcane Eruption,35, Arcane Enhancements,1
Arcane Eruption,40, Arcane Enhancements,1
Arcane Fury,230, Arcane Enhancements,1
Arcane Fury,250, Arcane Enhancements,9
Arcane Fury,260, Arcane Enhancements,4
Arcane Fury,270, Arcane Enhancements,8
Arcane Fury,275, Arcane Enhancements,9
Arcane Fury,280, Arcane Enhancements,7
Arcane Fury,289, Arcane Enhancements,1
Arcane Fury,290, Arcane Enhancements,11
Arcane Fury,297, Arcane Enhancements,1
Arcane Fury,298, Arcane Enhancements,1
Arcane Fury,299, Arcane Enhancements,2
Arcane Fury,300, Arcane Enhancements,30
