timestamp,item,price,count,type,itemName
2016-04-28 00:31:40.980875, Mod/Pathogen Rounds/0,8, 1, Mod,Pathogen Rounds
2016-04-28 00:32:09.493776, Mod/Fanged Fusillade/0,175, 1, Mod,Fanged Fusillade
2016-04-28 00:32:37.519942, Mod/Scorch/0,8, 2, Mod,Scorch
2016-04-28 00:34:14.731223, Mod/Sweeping Serration/0,200, 1, Mod,Sweeping Serration
2016-04-28 00:35:13.004118, Mod/Quick Thinking/0,8, 1, Mod,Quick Thinking
2016-04-28 00:36:15.984909, Mod/Rending Strike/0,4, 1, Mod,Rending Strike
2016-04-28 00:36:44.846587, Mod/Constitution/0,7, 1, Mod,Constitution
2016-04-28 00:37:16.826456, Mod/Blaze/0,9, 1, Mod,Blaze
2016-04-28 00:38:11.461745, Mod/Decisive Judgement,10, 2, Mod,Decisive Judgement
2016-04-28 00:38:11.466771, Mod/Decisive Judgement,9, 1, Mod,Decisive Judgement
2016-04-28 00:38:29.184346, Mod/Buzz Kill/0,130, 1, Mod,Buzz Kill
2016-04-28 00:39:33.915667, Mod/Life Strike/0,15, 1, Mod,Life Strike
2016-04-28 00:39:33.917662, Mod/Life Strike/0,10, 1, Mod,Life Strike
2016-04-28 00:41:24.083711, Syndicate/Vaykor Marelok,35, 1, Syndicate,Vaykor Marelok
2016-04-28 00:41:30.994655, Syndicate/Synoid Gammacor,35, 1, Syndicate,Synoid Gammacor
2016-04-28 00:43:42.811969, Arcane Helmet/Chorus Banshee Helmet,200, 1, Arcane Helmet,Chorus Banshee Helmet
2016-04-28 00:44:32.160535, Arcane Helmet/Pulse Volt Helmet,150, 1, Arcane Helmet,Pulse Volt Helmet
2016-04-28 00:45:10.332908, Void Trader/Primed Continuity,325, 1, Void Trader,Primed Continuity
2016-04-28 00:45:21.465288, Void Trader/Primed Flow,325, 1, Void Trader,Primed Flow
2016-04-28 00:45:32.416294, Void Trader/Primed Heavy Trauma,275, 1, Void Trader,Primed Heavy Trauma
2016-04-28 00:45:55.901986, Blueprint/Wyrm Prime Blueprint,12, 1, Blueprint,Wyrm Prime Blueprint
2016-04-28 00:45:59.792333, Blueprint/Wyrm Prime Cerebrum,15, 2, Blueprint,Wyrm Prime Cerebrum
2016-04-28 00:46:03.424032, Blueprint/Wyrm Prime Carapace,20, 1, Blueprint,Wyrm Prime Carapace
2016-04-28 00:46:07.054571, Blueprint/Wyrm Prime Systems,12, 1, Blueprint,Wyrm Prime Systems
2016-04-28 00:46:07.060199, Blueprint/Wyrm Prime Systems,4, 1, Blueprint,Wyrm Prime Systems
2016-04-28 00:48:13.372738, Arcane Enhancements/Arcane Barrier,60, 1, Arcane Enhancements,Arcane Barrier
2016-04-28 00:49:16.366619, Mod/Vampire Leech/0,10, 1, Mod,Vampire Leech
2016-04-28 00:49:20.055876, Mod/Piercing Caliber/0,280, 1, Mod,Piercing Caliber
2016-04-28 00:49:23.734504, Mod/Tempo Royale/0,240, 1, Mod,Tempo Royale
2016-04-28 00:49:38.607033, Mod/Pilfering Swarm/0,10, 1, Mod,Pilfering Swarm
2016-04-28 00:50:08.285494, Blueprint/Odonata Prime Wings,20, 1, Blueprint,Odonata Prime Wings
2016-04-28 00:51:23.199725, Mod/Bore/0,200, 1, Mod,Bore
2016-04-28 00:51:56.050440, Blueprint/Ash Prime Blueprint,115, 1, Blueprint,Ash Prime Blueprint
2016-04-28 00:52:04.075789, Blueprint/Ash Prime Systems,40, 1, Blueprint,Ash Prime Systems
2016-04-28 00:52:07.865115, Blueprint/Ash Prime Helmet,10, 4, Blueprint,Ash Prime Helmet
2016-04-28 00:52:23.017783, Blueprint/Carrier Prime Systems,5, 1, Blueprint,Carrier Prime Systems
2016-04-28 00:52:30.382231, Blueprint/Vectis Prime Blueprint,20, 1, Blueprint,Vectis Prime Blueprint
2016-04-28 00:52:33.958486, Blueprint/Vectis Prime Receiver,80, 1, Blueprint,Vectis Prime Receiver
2016-04-28 00:53:04.298067, Void Trader/Prisma Grakata,200, 1, Void Trader,Prisma Grakata
2016-04-28 00:54:23.449916, Mod/Depleted Reload,15, 1, Mod,Depleted Reload
2016-04-28 00:54:53.144814, Blueprint/Trinity Prime Blueprint,25, 1, Blueprint,Trinity Prime Blueprint
2016-04-28 00:54:53.145909, Blueprint/Trinity Prime Blueprint,30, 1, Blueprint,Trinity Prime Blueprint
2016-04-28 00:54:56.685945, Blueprint/Trinity Prime Helmet,50, 3, Blueprint,Trinity Prime Helmet
2016-04-28 00:55:19.087764, Blueprint/Kavasa Prime Collar Blueprint,20, 1, Blueprint,Kavasa Prime Collar Blueprint
2016-04-28 00:55:22.681640, Blueprint/Kavasa Prime Collar Buckle,35, 1, Blueprint,Kavasa Prime Collar Buckle
2016-04-28 00:59:02.481150, Mod/Power Drift/0,10, 1, Mod,Power Drift
2016-04-28 00:59:20.419906, Set/Ash Prime Set,200, 1, Set,Ash Prime Set
2016-04-28 00:59:27.618650, Set/Boar Prime Set,200, 1, Set,Boar Prime Set
2016-04-28 00:59:44.330853, Set/Burston Prime Set,12, 1, Set,Burston Prime Set
2016-04-28 00:59:44.332524, Set/Burston Prime Set,10, 1, Set,Burston Prime Set
2016-04-28 01:00:13.386590, Set/Glaive Prime Set,380, 1, Set,Glaive Prime Set
2016-04-28 01:00:17.043145, Set/Hikou Prime Set,25, 1, Set,Hikou Prime Set
